run_name,config_path,mode,output_dir,eval_dataset,eval_dataset_config,model,backend,gating,tau_r,reuse_signal,task_type,positional_cache,positional_horizon,positional_budget,candidate_policy,remask,method,note,accuracy,tps,nfe,cache_hit_rate,agreement_rate,draft_accept_rate,frontier_accept_rate,frontier_reject_rate,mean_frontier_size,verifier_call_rate,verifier_skips,self_accept_events,draft_microsteps,drafter_cache_resets,effective_flops,reuse_mean_safe,reuse_mean_js,access_rate,access_mandatory_rate,access_optional_rate,access_budget_utilization,access_effective_budget,access_next_h_precision,access_next_h_recall,access_next_h_f1,access_next_h_spec_precision,access_next_h_spec_recall,access_next_h_spec_f1,mean_boundary_depth,boundary_distribution,total_samples,host,git_commit,cache_invalidation_rate
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,Speculative-AOAE,"point=ablate_any_order_hard,routing=lossless,tau_r=0.1,tau_pi=0.5,budget=8,micros=3,agree_thr=0.92,unmask=0.125,reuse=argmax_match,pc=off,sched=aoae,remask=on",0.800000,56.537,109,0.000000,0.855721,0.855721,0.820629,0.179371,3.913492,0.854053,0.000,0.000,14.900,0.100,0.426230,0.855721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,Speculative-AOAE,"point=ablate_any_order_lossless_tau1,routing=lossless,tau_r=0.1,tau_pi=1.0,budget=8,micros=3,agree_thr=0.92,unmask=0.125,reuse=argmax_match,pc=off,sched=aoae,remask=on",0.600000,61.197,105,0.000000,0.926441,0.926441,0.901394,0.098606,12.469185,0.750874,0.000,0.000,16.500,0.300,0.413965,0.926441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,Speculative-AOAE,"point=ablate_any_order_soft,routing=soft,tau_r=0.1,tau_pi=0.5,budget=8,micros=3,agree_thr=0.92,unmask=0.125,reuse=argmax_match,pc=off,sched=aoae,remask=on",0.700000,57.987,91,0.000000,0.925993,0.925993,0.840425,0.159575,6.870834,0.754301,0.000,0.000,17.200,0.300,0.355547,0.925993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,Speculative-AOAE,"point=ablate_block_default,routing=soft,tau_r=0.1,tau_pi=1.0,budget=8,micros=3,agree_thr=0.92,unmask=0.125,reuse=argmax_match,pc=off,sched=aoae_block,draft_thr=0.5,verify_thr=0.7,reject=correct_confident,verify_mode=primary,remask=on",0.900000,72.492,102,0.000000,0.952507,0.961988,0.965310,0.034690,6.238699,0.392202,0.000,0.000,67.800,0.000,0.402070,0.952507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/notrain,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,Speculative-AOAE,"routing=soft,tau_r=0.1,tau_pi=1.0,budget=8,micros=3,agree_thr=0.92,unmask=0.125,reuse=argmax_match,pc=off,sched=aoae,remask=on",1.000000,75.548,61,0.000000,0.985646,0.985646,0.966183,0.033817,16.456773,0.476860,0.000,0.000,34.600,0.200,0.241836,0.985646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"{""0"": 817}",10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,llada21_quality_anyorder,"llada21_quality_anyorder,remask=on",0.100000,222.929,67,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,llada21_quality_mode,"llada21_quality_mode,remask=on",0.800000,77.731,105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,llada21_speed_anyorder,"llada21_speed_anyorder,remask=on",0.300000,241.140,62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
ablation,configs/ablation.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/ablations/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,llada21_speed_mode,"llada21_speed_mode,remask=on",0.700000,87.544,82,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
eval_gsm8k,configs/eval_gsm8k.yaml,speculative,/n/netscratch/ydu_lab/Lab/pranavsitaraman/Efficient-dLLM-Inference/outputs/paper_final/gsm8k/trained,openai/gsm8k,,inclusionAI/LLaDA2.1-mini,dual,hard+soft (speculative),0.1000,argmax_match,math,off,4,32,learned_topb,on,Speculative-AOAE,"point=qbal_tau0.5_lossless,routing=lossless,tau_r=0.1,tau_pi=0.5,budget=8,micros=3,agree_thr=0.92,unmask=0.125,reuse=argmax_match,pc=off,sched=aoae,remask=on",0.800000,71.595,76,0.000000,0.943715,0.943715,0.909386,0.090614,10.827010,0.682685,0.000,0.000,22.000,0.500,0.297266,0.943715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,{},10,holygpu8a11203.rc.fas.harvard.edu,9cc984e89e72694739d20a9a64826b63588a0d85,0.000000
